epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,333.404,0.48407,0.84498,1,0.3878,0.000332288,0.000332288,0.0671034
2,603.903,0.33401,0.91248,1,0.21921,0.000663024,0.000663024,0.0341009
3,841.968,0.26912,0.91758,1,0.19433,0.00098342,0.00098342,0.00108791
4,1128.62,0.23845,0.95958,1,0.10979,0.000965239,0.000965239,0.000965239
5,1430.35,0.18794,0.96978,1,0.08402,0.000938772,0.000938772,0.000938772
6,1708.3,0.15742,0.96429,1,0.09633,0.000905463,0.000905463,0.000905463
7,1987.22,0.14427,0.97763,1,0.0513,0.000865839,0.000865839,0.000865839
8,2264.47,0.12236,0.97881,1,0.05552,0.000820525,0.000820525,0.000820525
9,2545.36,0.10897,0.98234,1,0.04314,0.000770234,0.000770234,0.000770234
10,2839.39,0.10426,0.98509,1,0.04289,0.000715761,0.000715761,0.000715761
11,3115.59,0.09155,0.98783,1,0.04001,0.000657963,0.000657963,0.000657963
12,3390.26,0.07932,0.98666,1,0.03878,0.000597754,0.000597754,0.000597754
13,3663.9,0.07849,0.99411,1,0.01984,0.000536081,0.000536081,0.000536081
14,3943.83,0.06727,0.99294,1,0.02652,0.000473919,0.000473919,0.000473919
15,4220.38,0.05383,0.99176,1,0.02415,0.000412246,0.000412246,0.000412246
16,4505.58,0.05651,0.99725,1,0.0141,0.000352037,0.000352037,0.000352037
17,4791.64,0.05135,0.99411,1,0.01773,0.000294239,0.000294239,0.000294239
18,5066.66,0.04546,0.99686,1,0.01508,0.000239766,0.000239766,0.000239766
19,5348.41,0.04381,0.99647,1,0.01675,0.000189475,0.000189475,0.000189475
20,5640.54,0.04402,0.99608,1,0.01583,0.000144161,0.000144161,0.000144161
21,5935.86,0.0387,0.99647,1,0.01312,0.000104537,0.000104537,0.000104537
22,6232.93,0.03384,0.99686,1,0.01192,7.12282e-05,7.12282e-05,7.12282e-05
23,6505.66,0.03508,0.99804,1,0.01131,4.47606e-05,4.47606e-05,4.47606e-05
24,6798.34,0.03101,0.99804,1,0.01174,2.55513e-05,2.55513e-05,2.55513e-05
25,7072.36,0.03217,0.99765,1,0.01146,1.39032e-05,1.39032e-05,1.39032e-05
