epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,247.142,0.4959,0.85008,1,0.3444,0.000332288,0.000332288,0.0671034
2,479.9,0.34379,0.87794,1,0.27488,0.000663024,0.000663024,0.0341009
3,800.778,0.25983,0.93328,1,0.17751,0.00098342,0.00098342,0.00108791
4,1235.4,0.22325,0.93799,1,0.16061,0.000965239,0.000965239,0.000965239
5,1765.9,0.18474,0.96546,1,0.09297,0.000938772,0.000938772,0.000938772
6,2030.57,0.16482,0.96625,1,0.09845,0.000905463,0.000905463,0.000905463
7,2279.8,0.14472,0.97881,1,0.04814,0.000865839,0.000865839,0.000865839
8,2684.66,0.11766,0.98116,1,0.06122,0.000820525,0.000820525,0.000820525
9,2966.57,0.10304,0.98626,1,0.04978,0.000770234,0.000770234,0.000770234
10,3219.01,0.09225,0.9843,1,0.0384,0.000715761,0.000715761,0.000715761
11,4014.64,0.08587,0.9898,1,0.0328,0.000657963,0.000657963,0.000657963
12,5450.16,0.08098,0.98469,1,0.05834,0.000597754,0.000597754,0.000597754
13,6841.48,0.07631,0.99097,1,0.03458,0.000536081,0.000536081,0.000536081
14,8554.4,0.06346,0.98744,1,0.03699,0.000473919,0.000473919,0.000473919
15,9315.97,0.06101,0.99254,1,0.0363,0.000412246,0.000412246,0.000412246
16,9613.6,0.05519,0.99058,1,0.03315,0.000352037,0.000352037,0.000352037
17,9895.65,0.05153,0.99058,1,0.02789,0.000294239,0.000294239,0.000294239
18,10194.9,0.04204,0.99058,1,0.02272,0.000239766,0.000239766,0.000239766
19,10474.5,0.04072,0.99294,1,0.02442,0.000189475,0.000189475,0.000189475
20,10754.2,0.04026,0.99529,1,0.02229,0.000144161,0.000144161,0.000144161
21,11041.9,0.03719,0.99529,1,0.02428,0.000104537,0.000104537,0.000104537
22,11343.5,0.03323,0.99568,1,0.01892,7.12282e-05,7.12282e-05,7.12282e-05
23,11627.2,0.0304,0.99608,1,0.01742,4.47606e-05,4.47606e-05,4.47606e-05
24,11911.7,0.02963,0.99608,1,0.01942,2.55513e-05,2.55513e-05,2.55513e-05
25,12193.8,0.02964,0.99647,1,0.0184,1.39032e-05,1.39032e-05,1.39032e-05
