epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,18.2334,1.15129,0.33775,1,1.21035,0.00037,0.00037,0.06337
2,34.9655,1.117,0.31126,1,1.1768,0.000745429,0.000745429,0.0257454
3,53.6483,1.11164,0.35762,1,1.19099,0.000975773,0.000975773,0.000975773
4,69.6873,1.09884,0.36424,1,1.2105,0.000946048,0.000946048,0.000946048
5,85.8773,1.08773,0.35099,1,1.15464,0.000905463,0.000905463,0.000905463
6,103.996,1.09347,0.31126,1,1.21841,0.000855018,0.000855018,0.000855018
7,119.442,1.09499,0.33113,1,1.18057,0.000795954,0.000795954,0.000795954
8,135.988,1.08076,0.37086,1,1.167,0.000729725,0.000729725,0.000729725
9,151.956,1.08936,0.33113,1,1.12762,0.000657963,0.000657963,0.000657963
10,168.481,1.08088,0.36424,1,1.1244,0.000582435,0.000582435,0.000582435
11,182.479,1.05597,0.39735,1,1.16389,0.000505,0.000505,0.000505
12,197.775,1.05245,0.36424,1,1.15761,0.000427565,0.000427565,0.000427565
13,213.522,1.03457,0.35099,1,1.17043,0.000352037,0.000352037,0.000352037
14,228.789,1.02719,0.3245,1,1.17761,0.000280275,0.000280275,0.000280275
15,245.43,1.04017,0.35762,1,1.17492,0.000214046,0.000214046,0.000214046
16,260.58,1.02808,0.38411,1,1.16823,0.000154982,0.000154982,0.000154982
17,277.915,1.02112,0.35099,1,1.1511,0.000104537,0.000104537,0.000104537
18,293.797,1.02378,0.35099,1,1.15253,6.39518e-05,6.39518e-05,6.39518e-05
19,309.852,0.99488,0.33775,1,1.1577,3.4227e-05,3.4227e-05,3.4227e-05
